id,name,address,distance,lng,lat,delivery_fee,min_order_amount,open_time_description,review_avg,categories
46,피자로뎀,서울 영등포구 대림동 909-44,2000,126.9073243,37.4962559,0,0,요기요 서비스 준비중,4.7,"['야식', '테이크아웃', '피자양식']"
62,신화불닭-광운대본점,서울 노원구 월계동 411-28,2000,127.0612224,37.621305,0,0,요기요 서비스 준비중,4.2,"['야식', '한식']"
63,오븐구이치킨,서울 도봉구 방학동 692-12 1층,2000,127.035463155828,37.6629476696535,0,0,10:00 - 02:00,2.9,"['치킨', '야식']"
67,맛자랑24시찜닭닭도리,서울 강남구 논현동 220,2000,127.0328983,37.5117719,0,0,07:00 - 06:59,4.0,"['야식', '분식', '한식']"
74,풍락탕수육,서울 성북구 정릉동 167-4,2000,127.0133444,37.6059363,0,0,11:00 - 23:30,4.6,['중식']
117,강남매운닭도리찜닭,서울 강남구 논현동 232-23,2000,127.0369427,37.5162627,0,0,07:00 - 06:59,4.2,"['분식', '야식', '한식']"
128,떳다철가방,서울 동작구 본동 47-1,2000,126.9550869,37.5124381999345,0,0,11:00 - 20:50,4.3,['중식']
137,다빈(행운동),서울 관악구 행운동 1674-26 1층,2000,126.9581044,37.4798331,0,0,10:00 - 20:20,4.1,"['중식', '1인분주문', '야식']"
139,두로스피자,서울 관악구 신림동 117-24,2000,126.9361896,37.4714342,0,0,11:00 - 01:00,4.6,"['야식', '피자양식']"
152,당산김밥떡볶이-당산점,서울 영등포구 당산동6가 235-1 1층,2000,126.902563584644,37.5341073135108,0,0,03:00 - 02:59,4.4,"['일식돈까스', '테이크아웃', '치킨', '분식', '야식', '피자양식', '한식']"
157,중림각,서울 금천구 시흥동 874-10 1층,2000,126.902598531304,37.456649814716,0,0,10:00 - 20:40,4.7,"['중식', '한식', '분식', '테이크아웃']"
